SubDomain Number,SubDomainName,question,option A,option B,option C,option D,option E,option F,answer,_multanswer,_stateNew,_stateWrong,_stateRight,_stateMastered,_countRight,_countWrong,_LabAssignment,_StudyRef,_AICoaching,_MarkedQuestions,_SubDomainNum,_SubDomainName, ,_OriginalNumber,_ExamNumber,_ExamName,_ImageURL,_Explanation
1.5,Incident Response,"An application has been built with Amazon EC2 instances that retrieve messages from Amazon SQS. Recently, IAM changes were made and the instances can no longer retrieve messages. What actions should be taken to troubleshoot the issue while maintaining least privilege? (Choose two.)",Conﬁgure and assign an MFA device to the role used by the instances.,Verify that the SQS resource policy does not explicitly deny access to the role used by the instances.,Verify that the access key attached to the role used by the instances is active.,Attach the AmazonSQSFullAccess managed policy to the role used by the instances.,Verify that the role attached to the instances contains policies that allow access to the queue.,,"B, E",1,0,1,0,0,0,1,,,,,4.1,Authentication & Authorization,,204,SCS-C02,AWS Certified Security - Specialty,,"To maintain least privilege, first confirm the instance role’s inline/attached policies allow the necessary SQS actions on the specific queue (E), and ensure the queue’s resource policy does not explicitly deny that role (B), which would override allows. MFA devices and access keys are not used by EC2 instance roles, and granting AmazonSQSFullAccess would violate least-privilege principles."
1.5,Incident Response,"A company uses AWS Organizations to manage a small number of AWS accounts. However, the company plans to add 1,000 more accounts soon. The company allows only a centralized security team to create IAM roles for all AWS accounts and teams. Application teams submit requests for IAM roles to the security team. The security team has a backlog of IAM role requests and cannot review and provision the IAM roles quickly. The security team must create a process that will allow application teams to provision their own IAM roles. The process must also limit the scope of IAM roles and prevent privilege escalation. Which solution will meet these requirements with the LEAST operational overhead?",Create an IAM group for each application team. Associate policies with each IAM group. Provision IAM users for each application team member. Add the new IAM users to the appropriate IAM group by using role-based access control (RBAC).,Delegate application team leads to provision IAM roles for each team. Conduct a quarterly review of the IAM roles the team leads have provisioned. Ensure that the application team leads have the appropriate training to review IAM roles.,Put each AWS account in its own OU. Add an SCP to each OU to grant access to only the AWS services that the teams plan to use. Include conditions in the AWS account of each team.,Create an SCP and a permissions boundary for IAM roles. Add the SCP to the root OU so that only roles that have the permissions boundary attached can create any new IAM roles.,,,D,0,0,1,0,0,0,1,,,,,4.3,Permission Boundaries,,236,SCS-C02,AWS Certified Security - Specialty,,"Using an SCP to require that any newly created role must have a specific permissions boundary enforces a global guardrail while allowing teams to self-serve role creation. The permissions boundary caps the maximum permissions of roles, preventing privilege escalation, and the single SCP at the root OU minimizes operational overhead across all accounts. Other options either require heavy manual oversight or do not reliably prevent privilege escalation."
1.5,Incident Response,A company has a strict policy against using root credentials. The company’s security team wants to be alerted as soon as possible when root credentials are used to sign in to the AWS Management Console. How should the security team achieve this goal?,Use AWS Lambda to periodically query AWS CloudTrail for console login events and send alerts using Amazon Simple Notiﬁcation Service (Amazon SNS).,Use Amazon EventBridge to monitor console logins and direct them to Amazon Simple Notiﬁcation Service (Amazon SNS).,Use Amazon Athena to query AWS IAM Identity Center logs and send alerts using Amazon Simple Notiﬁcation Service (Amazon SNS) for root login events.,Conﬁgure AWS Resource Access Manager to review the access logs and send alerts using Amazon Simple Notiﬁcation Service (Amazon SNS).,,,B,0,0,1,0,0,0,1,,,,,2.4,Alerting & Remediation,,254,SCS-C02,AWS Certified Security - Specialty,,"Amazon EventBridge can match AWS CloudTrail ConsoleLogin events with userIdentity.type = ""Root"" and route them to an SNS topic for immediate, near–real-time alerts. This provides an event-driven, managed solution without polling. The other options either introduce latency (periodic queries) or involve unrelated services (IAM Identity Center, RAM)."
1.5,Incident Response,"A company runs workloads that are spread across hundreds of Amazon EC2 instances. During a recent security incident, an EC2 instance was compromised and ran malware code until the company manually terminated the instance. The company is now using Amazon GuardDuty to detect malware on EC2 instances. A security engineer needs to implement a solution that automates a response when GuardDuty determines that an instance is infected. The solution must mitigate the incident and must comply with the AWS Well-Architected Framework guidance for incident response. Which solution will meet these requirements?",Conﬁgure AWS Systems Manager Run Command to run when a GuardDuty scan determines that an instance is infected. Use Run Command to remove all network adapters from the operating system of the infected instance. Use Run Command to also add a tag of “Infected” to the instance.,Create an AWS Lambda function that runs when a GuardDuty scan determines that an instance is infected. Program the Lambda function to delete all elastic network interfaces that are associated with the instance. Program the Lambda function to also add a tag of “Infected” to the instance.,Create an AWS Lambda function that runs when a GuardDuty scan determines that an instance is infected. Program the Lambda function to detach all Amazon Elastic Block Store (Amazon EBS) volumes from the instance. Program the Lambda function to also add a tag of “Infected” to the EBS volumes and to terminate the instance afterward.,Deﬁne a separate VPC to isolate EC2 instances. Deﬁne a security group that does not allow any network traﬃc. Create an AWS Lambda function that runs when a GuardDuty scan determines that an instance is infected. Program the Lambda function to move the instance into the separate VPC and to assign the security group to the instance.,,,C,0,0,1,0,0,0,1,,,,,1.3,Containment & Eradication,,284,SCS-C02,AWS Certified Security - Specialty,,"Option C follows Well-Architected incident response by automating containment and recovery: it terminates the compromised instance to stop malware execution and detaches/tag EBS volumes to preserve evidence for forensics. Triggering a Lambda from GuardDuty findings enables a rapid, repeatable response. Other options are unreliable or unsupported (e.g., modifying NICs from a compromised host, moving instances across VPCs) and may leave malware running."
1.5,Incident Response,A company runs a web application on a ﬂeet of Amazon EC2 instances that are in an Auto Scaling group. The EC2 instances are in the same VPC subnet as other workloads. A security engineer deploys an Amazon GuardDuty detector in the same AWS Region as the EC2 instances. The security engineer also sets up an AWS Security Hub integration with GuardDuty. The security engineer needs to implement an automated solution to detect and appropriately respond to anomalous traﬃc patterns for the web application. The solution must comply with AWS best practices for initial response to security incidents and must minimize disruption to the web application. Which solution will meet these requirements?,Create an Amazon EventBridge rule that detects the Behavior:EC2/TraﬃcVolumeUnusual GuardDuty ﬁnding. Conﬁgure the rule to invoke an AWS Lambda function to disable the EC2 instance proﬁle access keys.,Create an Amazon EventBridge rule that invokes an AWS Lambda function when GuardDuty detects anomalous traﬃc. Program the Lambda function to disassociate the identiﬁed instance from the Auto Scaling group and to isolate the instance by using a new restricted security group.,Create a Security Hub automated response that updates the network ACL that is associated with the subnet of the EC2 instances. Conﬁgure the response to update the network ACL to deny traﬃc from the source of detected anomalous traﬃc.,Create an Amazon Simple Notiﬁcation Service (Amazon SNS) topic. Subscribe the security engineer’s email address to the SNS topic. Conﬁgure GuardDuty to send all ﬁndings to the SNS topic.,,,B,0,0,1,0,0,0,1,,,,,1.2,Detection & Investigation,,304,SCS-C02,AWS Certified Security - Specialty,,Option B follows AWS incident response best practices by automatically isolating only the suspected EC2 instance—removing it from the Auto Scaling group and attaching a restrictive security group—so the rest of the application remains unaffected. This preserves the instance for forensics and stops potential malicious traffic with minimal disruption. The other options either don’t take automated containment action or risk broader impact to the subnet or application.
2.1,Config & Security Hub,A security engineer is conﬁguring a new website that is named example.com. The security engineer wants to secure communications with the website by requiring users to connect to example.com through HTTPS. Which of the following is a valid option for storing SSL/TLS certiﬁcates?,Custom SSL certiﬁcate that is stored in AWS Key Management Service (AWS KMS),Default SSL certiﬁcate that is stored in Amazon CloudFront,Custom SSL certiﬁcate that is stored in AWS Certiﬁcate Manager (ACM),Default SSL certiﬁcate that is stored in Amazon S3,,, ,0,0,1,0,0,0,1,,,,,5.1,Encryption at Rest,,2,SCS-C02,AWS Certified Security - Specialty,,"AWS Certificate Manager (ACM) is the correct place to import or provision and manage custom SSL/TLS certificates for use with services like CloudFront and ALB for domains such as example.com. CloudFront’s default certificate only covers *.cloudfront.net, and KMS or S3 are not used to store/deploy website TLS certificates."
2.1,Config & Security Hub,"Company A has an AWS account that is named Account A. Company A recently acquired Company B, which has an AWS account that is named Account B. Company B stores its ﬁles in an Amazon S3 bucket. The administrators need to give a user from Account A full access to the S3 bucket in Account B. After the administrators adjust the IAM permissions for the user in Account A to access the S3 bucket in Account B, the user still cannot access any ﬁles in the S3 bucket. Which solution will resolve this issue?","In Account B, create a bucket ACL to allow the user from Account A to access the S3 bucket in Account B.","In Account B, create an object ACL to allow the user from Account A to access all the objects in the S3 bucket in Account B.","In Account B, create a bucket policy to allow the user from Account A to access the S3 bucket in Account B.","In Account B, create a user policy to allow the user from Account A to access the S3 bucket in Account B.",,,C,0,0,1,0,0,0,1,,,,,4.1,Authentication & Authorization,,10,SCS-C02,AWS Certified Security - Specialty,,"For cross-account S3 access, you need both permissions on the principal and a resource-based policy on the bucket granting that principal access. A bucket policy in Account B explicitly allows the Account A user to perform actions like ListBucket and GetObject; ACLs are legacy/limited and a user policy in Account B cannot authorize a principal from Account A."
2.1,Config & Security Hub,A company wants to receive an email notiﬁcation about critical ﬁndings in AWS Security Hub. The company does not have an existing architecture that supports this functionality. Which solution will meet the requirement?,Create an AWS Lambda function to identify critical Security Hub ﬁndings. Create an Amazon Simple Notiﬁcation Service (Amazon SNS) topic as the target of the Lambda function. Subscribe an email endpoint to the SNS topic to receive published messages.,Create an Amazon Kinesis Data Firehose delivery stream. Integrate the delivery stream with Amazon EventBridge. Create an EventBridge rule that has a ﬁlter to detect critical Security Hub ﬁndings. Conﬁgure the delivery stream to send the ﬁndings to an email address.,Create an Amazon EventBridge rule to detect critical Security Hub ﬁndings. Create an Amazon Simple Notiﬁcation Service (Amazon SNS) topic as the target of the EventBridge rule. Subscribe an email endpoint to the SNS topic to receive published messages.,Create an Amazon EventBridge rule to detect critical Security Hub ﬁndings. Create an Amazon Simple Email Service (Amazon SES) topic as the target of the EventBridge rule. Use the Amazon SES API to format the message. Choose an email address to be the recipient of the message.,,,C,0,0,1,0,0,0,1,,,,,2.4,Alerting & Remediation,,11,SCS-C02,AWS Certified Security - Specialty,,"Security Hub natively publishes findings to Amazon EventBridge, allowing you to create a rule that filters for critical findings and forwards them to an SNS topic for email notifications. This is the simplest, event-driven pattern without extra components. Options A and D add unnecessary services (Lambda/SES), and B is incorrect because Firehose doesn’t send emails."
2.1,Config & Security Hub,"A company uses AWS Organizations and has production workloads across multiple AWS accounts. A security engineer needs to design a solution that will proactively monitor for suspicious behavior across all the accounts that contain production workloads. The solution must automate remediation of incidents across the production accounts. The solution also must publish a notiﬁcation to an Amazon Simple Notiﬁcation Service (Amazon SNS) topic when a critical security ﬁnding is detected. In addition, the solution must send all security incident logs to a dedicated account. Which solution will meet these requirements?","Activate Amazon GuardDuty in each production account. In a dedicated logging account, aggregate all GuardDuty logs from each production account. Remediate incidents by conﬁguring GuardDuty to directly invoke an AWS Lambda function. Conﬁgure the Lambda function to also publish notiﬁcations to the SNS topic.","Activate AWS Security Hub in each production account. In a dedicated logging account, aggregate all Security Hub ﬁndings from each production account. Remediate incidents by using AWS Conﬁg and AWS Systems Manager. Conﬁgure Systems Manager to also publish notiﬁcations to the SNS topic.","Activate Amazon GuardDuty in each production account. In a dedicated logging account, aggregate all GuardDuty logs from each production account. Remediate incidents by using Amazon EventBridge to invoke a custom AWS Lambda function from the GuardDuty ﬁndings. Conﬁgure the Lambda function to also publish notiﬁcations to the SNS topic.","Activate AWS Security Hub in each production account. In a dedicated logging account, aggregate all Security Hub ﬁndings from each production account. Remediate incidents by using Amazon EventBridge to invoke a custom AWS Lambda function from the Security Hub ﬁndings. Conﬁgure the Lambda function to also publish notiﬁcations to the SNS topic.",,,C,0,0,1,0,0,0,1,,,,,2.3,Monitoring & Detection,,14,SCS-C02,AWS Certified Security - Specialty,,"GuardDuty is the native AWS threat detection service for proactively monitoring suspicious activity and supports multi-account aggregation in a dedicated logging/administrator account. GuardDuty findings are emitted to EventBridge, which can trigger a Lambda function to automate remediation and publish critical alerts to SNS—meeting both automated response and centralized incident logging requirements."
2.1,Config & Security Hub,A security engineer is checking an AWS CloudFormation template for vulnerabilities. The security engineer ﬁnds a parameter that has a default value that exposes an application's API key in plaintext. The parameter is referenced several times throughout the template. The security engineer must replace the parameter while maintaining the ability to reference the value in the template. Which solution will meet these requirements in the MOST secure way?,"Store the API key value as a SecureString parameter in AWS Systems Manager Parameter Store. In the template, replace all references to the value with {{resolve:ssm:MySSMParameterName:1}}.","Store the API key value in AWS Secrets Manager. In the template, replace all references to the value with {{resolve:secretsmanager:MySecretId:SecretString}}.","Store the API key value in Amazon DynamoDB. In the template, replace all references to the value with {{resolve:dynamodb:MyTableName:MyPrimaryKey}}.","Store the API key value in a new Amazon S3 bucket. In the template, replace all references to the value with {{resolve:s3:MyBucketName:MyObjectName}}.",,,B,0,0,1,0,0,0,1,,,,,5.1,Encryption at Rest,,50,SCS-C02,AWS Certified Security - Specialty,,"Using Secrets Manager with a CloudFormation dynamic reference keeps the API key out of the template and parameters, resolving it securely at deployment and supporting encryption, rotation, and auditing. This is the most appropriate service for secrets. Option A is less secure as written (it should use ssm-secure), and S3/DynamoDB are not valid dynamic reference sources for secrets."
2.1,Config & Security Hub,A company has several petabytes of data. The company must preserve this data for 7 years to comply with regulatory requirements. The company's compliance team asks a security oﬃcer to develop a strategy that will prevent anyone from changing or deleting the data. Which solution will meet this requirement MOST cost-effectively?,Create an Amazon S3 bucket. Conﬁgure the bucket to use S3 Object Lock in compliance mode. Upload the data to the bucket. Create a resource-based bucket policy that meets all the regulatory requirements.,Create an Amazon S3 bucket. Conﬁgure the bucket to use S3 Object Lock in governance mode. Upload the data to the bucket. Create a user-based IAM policy that meets all the regulatory requirements.,Create a vault in Amazon S3 Glacier. Create a Vault Lock policy in S3 Glacier that meets all the regulatory requirements. Upload the data to the vault.,Create an Amazon S3 bucket. Upload the data to the bucket. Use a lifecycle rule to transition the data to a vault in S3 Glacier. Create a Vault Lock policy that meets all the regulatory requirements.,,,C,0,0,0,1,0,1,0,,,,,5.4,Data Classification & Access Control,,52,SCS-C02,AWS Certified Security - Specialty,,"S3 Glacier Vault Lock enforces WORM at the vault level with an immutable retention policy, preventing anyone from deleting or modifying data for the required 7 years. Glacier is the most cost-effective storage for multi-year archival of petabytes. S3 Object Lock in compliance mode (A) works but is typically more expensive, governance mode (B) isn’t tamper-proof, and lifecycle to Glacier then applying Vault Lock (D) doesn’t lock S3-managed objects."
2.1,Config & Security Hub,A company has a new partnership with a vendor. The vendor will process data from the company's customers. The company will upload data ﬁles as objects into an Amazon S3 bucket. The vendor will download the objects to perform data processing. The objects will contain sensitive data. A security engineer must implement a solution that prevents objects from residing in the S3 bucket for longer than 72 hours. Which solution will meet these requirements?,Use Amazon Macie to scan the S3 bucket for sensitive data every 72 hours. Conﬁgure Macie to delete the objects that contain sensitive data when they are discovered.,Conﬁgure an S3 Lifecycle rule on the S3 bucket to expire objects that have been in the S3 bucket for 72 hours.,Create an Amazon EventBridge scheduled rule that invokes an AWS Lambda function every day. Program the Lambda function to remove any objects that have been in the S3 bucket for 72 hours.,Use the S3 Intelligent-Tiering storage class for all objects that are uploaded to the S3 bucket. Use S3 Intelligent-Tiering to expire objects that have been in the $3 bucket for 72 hours.,,,B,0,0,1,0,0,0,1,,,,,5.4,Data Classification & Access Control,,60,SCS-C02,AWS Certified Security - Specialty,,"S3 Lifecycle rules natively support object expiration and can automatically delete objects after a specified number of days (e.g., 3 days = 72 hours), meeting the requirement with a managed, low-ops solution. The other options either don’t control deletion based on time (Macie, Intelligent-Tiering) or add unnecessary operational overhead and complexity (Lambda/EventBridge)."
2.1,Config & Security Hub,A company accidentally deleted the private key for an Amazon Elastic Block Store (Amazon EBS)-backed Amazon EC2 instance. A security engineer needs to regain access to the instance. Which combination of steps will meet this requirement? (Choose two.),Stop the instance. Detach the root volume. Generate a new key pair.,Keep the instance running. Detach the root volume. Generate a new key pair.,"When the volume is detached from the original instance, attach the volume to another instance as a data volume. Modify the authorized_keys ﬁle with a new public key. Move the volume back to the original instance. Start the instance.","When the volume is detached from the original instance, attach the volume to another instance as a data volume. Modify the authorized_keys ﬁle with a new private key. Move the volume back to the original instance. Start the instance.","When the volume is detached from the original instance, attach the volume to another instance as a data volume. Modify the authorized_keys ﬁle with a new public key. Move the volume back to the original instance that is running.",,"A, C",1,0,1,0,0,0,2,,,,,1.1,Preparation & Runbooks,,61,SCS-C02,AWS Certified Security - Specialty,,"You must stop the instance to detach its root EBS volume and generate a new key pair (A). Then attach the volume to a helper instance, add the new key pair’s public key to the appropriate user’s ~/.ssh/authorized_keys, reattach it to the original instance, and start it (C). Detaching from a running instance (B/E) isn’t supported, and you should never place a private key in authorized_keys (D)."
2.1,Config & Security Hub,"A company is building an application on AWS that will store sensitive information. The company has a support team with access to the IT infrastructure, including databases. The company’s security engineer must introduce measures to protect the sensitive data against any data breach while minimizing management overhead. The credentials must be regularly rotated. What should the security engineer recommend?",Enable Amazon RDS encryption to encrypt the database and snapshots. Enable Amazon Elastic Block Store (Amazon EBS) encryption on Amazon EC2 instances. Include the database credential in the EC2 user data ﬁeld. Use an AWS Lambda function to rotate database credentials. Set up TLS for the connection to the database.,Install a database on an Amazon EC2 instance. Enable third-party disk encryption to encrypt the Amazon Elastic Block Store (Amazon EBS) volume. Store the database credentials in AWS CloudHSM with automatic rotation. Set up TLS for the connection to the database.,Enable Amazon RDS encryption to encrypt the database and snapshots. Enable Amazon Elastic Black Store (Amazon EBS) encryption on Amazon EC2 instances. Store the database credentials in AWS Secrets Manager with automatic rotation. Set up TLS for the connection to the RDS hosted database.,Set up an AWS CloudHSM cluster with AWS Key Management Service (AWS KMS) to store KMS keys. Set up Amazon RDS encryption using AWS KMS to encrypt the database. Store database credentials in the AWS Systems Manager Parameter Store with automatic rotation. Set up TLS for the connection to the RDS hosted database.,,,C,0,0,1,0,0,0,1,,,,,5.1,Encryption at Rest,,64,SCS-C02,AWS Certified Security - Specialty,,"Option C uses fully managed native services to minimize overhead: RDS encryption (KMS) protects data at rest, EBS encryption secures EC2-hosted data, and AWS Secrets Manager provides built-in, automatic credential rotation. Coupled with TLS for in-transit protection, this addresses breach risk without risky practices (like storing creds in user data) or heavy, complex setups like CloudHSM."
2.1,Config & Security Hub,"A security engineer recently rotated all IAM access keys in an AWS account. The security engineer then conﬁgured AWS Conﬁg and enabled the following AWS Conﬁg managed rules: mfa-enabled-for-iam-console-access, iam-user-mfa-enabled, access-keys-rotated, and iam-user-unused-credentials-check. The security engineer notices that all resources are displaying as noncompliant after the IAM GenerateCredentialReport API operation is invoked. What could be the reason for the noncompliant status?",The IAM credential report was generated within the past 4 hours.,The security engineer does not have the GenerateCredentialReport permission.,The security engineer does not have the GetCredenlialReport permission.,The AWS Conﬁg rules have a MaximumExecutionFrequency value of 24 hours.,,,A,0,0,1,0,0,0,1,,,,,4.1,Authentication & Authorization,,109,SCS-C02,AWS Certified Security - Specialty,,"These AWS Config managed rules evaluate IAM users using data from the IAM credential report, which is refreshed approximately every 4 hours. If the report was generated within the last 4 hours, it may not yet include the recent key rotations, so Config evaluations use stale data and mark resources as noncompliant temporarily."
2.1,Config & Security Hub,A company uses an external identity provider to allow federation into different AWS accounts. A security engineer for the company needs to identify the federated user that terminated a production Amazon EC2 instance a week ago. What is the FASTEST way for the security engineer to identify the federated user?,Review the AWS CloudTrail event history logs in an Amazon S3 bucket and look for the TerminateInstances event to identify the federated user from the role session name.,Filter the AWS CloudTrail event history for the TerminateInstances event and identify the assumed IAM role. Review the AssumeRoleWithSAML event call in CloudTrail to identify the corresponding username.,Search the AWS CloudTrail logs for the TerminateInstances event and note the event time. Review the IAM Access Advisor tab for all federated roles. The last accessed time should match the time when the instance was terminated.,Use Amazon Athena to run a SQL query on the AWS CloudTrail logs stored in an Amazon S3 bucket and ﬁlter on the TerminateInstances event. Identify the corresponding role and run another query to ﬁlter the AssumeRoleWithWebIdentity event for the user name.,,,B,0,0,1,0,0,0,1,,,,,2.3,Monitoring & Detection,,134,SCS-C02,AWS Certified Security - Specialty,,"Filtering CloudTrail event history for TerminateInstances quickly reveals the assumed role used, then correlating it with the AssumeRoleWithSAML event shows the federated user (via role session name/attributes). This uses the console’s event history (fast) and the correct federation mechanism, unlike options that require S3/Athena or rely on less precise Access Advisor data."
2.1,Config & Security Hub,"Two Amazon EC2 instances in different subnets should be able to connect to each other but cannot. It has been conﬁrmed that other hosts in the same subnets are able to communicate successfully, and that security groups have valid ALLOW rules in place to permit this traﬃc. Which of the following troubleshooting steps should be performed?","Check inbound and outbound security groups, looking for DENY rules","Check inbound and outbound Network ACL rules, looking for DENY rules",Review the rejected packet reason codes in the VPC Flow Logs,Use AWS X-Ray to trace the end-to-end application ﬂow,,,B,0,0,0,1,0,1,0,,,,,3.1,Network Architecture Security,,135,SCS-C02,AWS Certified Security - Specialty,,"Network ACLs are stateless and can contain explicit DENY rules that block traffic even if security groups allow it, so checking inbound and outbound NACL rules across both subnets is the right next step. Security groups do not support DENY rules (making A irrelevant), and X-Ray is for application tracing, not network-level connectivity issues."
2.1,Config & Security Hub,A company is worried about potential DDoS attacks. The company has a web application that runs on Amazon EC2 instances. The application uses Amazon S3 to serve static content such as images and videos. A security engineer must create a resilient architecture that can withstand DDoS attacks. Which solution will meet these requirements MOST cost-effectively?,Create an Amazon CloudWatch alarm that invokes an AWS Lambda function when an EC2 instance’s CPU utilization reaches 90%. Program the Lambda function to update security groups that are attached to the EC2 instance to deny inbound ports 80 and 443.,Put the EC2 instances into an Auto Scaling group behind an Elastic Load Balancing (ELB) load balancer. Use Amazon CioudFront with Amazon S3 as an origin.,Set up a warm standby disaster recovery (DR) environment. Fail over to the warm standby DR environment if a DDoS attack is detected on the application.,Subscribe to AWS Shield Advanced. Conﬁgure permissions to allow the Shield Response Team to manage resources on the company's behalf during a DDoS event.,,,B,0,0,1,0,0,0,1,,,,,3.2,Edge & Web Protection,,156,SCS-C02,AWS Certified Security - Specialty,,"Placing EC2 instances in an Auto Scaling group behind an ELB allows the application to scale and absorb traffic spikes, while CloudFront serves cached static content from edge locations, reducing load on the origin. This setup automatically benefits from AWS Shield Standard at no extra cost, providing DDoS mitigation and making it the most cost-effective resilient architecture."
2.1,Config & Security Hub,A company deployed an Amazon EC2 instance to a VPC on AWS. A recent alert indicates that the EC2 instance is receiving a suspicious number of requests over an open TCP port from an external source. The TCP port remains open for long periods of time. The company's security team needs to stop all activity to this port from the external source to ensure that the EC2 instance is not being compromised. The application must remain available to other users. Which solution will meet these requirements?,Update the network ACL that is attached to the subnet that is associated with the EC2 instance. Add a Deny statement for the port and the source IP addresses.,Update the elastic network interface security group that is attached to the EC2 instance to remove the port from the inbound rule list.,Update the elastic network interface security group that is attached to the EC2 instance by adding a Deny entry in the inbound list for the port and the source IP addresses.,Create a new network ACL for the subnet. Deny all traﬃc from the EC2 instance to prevent data from being removed.,,,A,0,0,0,1,0,1,0,,,,,3.1,Network Architecture Security,,181,SCS-C02,AWS Certified Security - Specialty,,"Network ACLs are stateless and support explicit allow/deny rules, letting you block traffic from specific source IPs and ports while allowing other traffic to continue, keeping the application available. Security groups cannot create deny rules (C) and removing the port entirely (B) would block all users. Option D would disrupt all traffic and is not targeted to the malicious source."
2.1,Config & Security Hub,"A company has secured the AWS account root user for its AWS account by following AWS best practices. The company also has enabled AWS CloudTrail, which is sending its logs to Amazon S3. A security engineer wants to receive notiﬁcation in near-real time if a user uses the AWS account root user credentials to sign in to the AWS Management Console Which solutions will provide this notiﬁcation? (Choose two.)",Use AWS Trusted Advisor and its security evaluations for the root account. Conﬁgure an Amazon EventBridge event rule that is invoked by the Trusted Advisor API. Conﬁgure the rule to target an Amazon Simple Notiﬁcation Service (Amazon SNS) topic. Subscribe any required endpoints to the SNS topic so that these endpoints can receive notiﬁcation.,Use AWS IAM Access Analyzer. Create an Amazon Cloud Watch Logs metric ﬁlter to evaluate log entries from Access Analyzer that detect a successful root account login. Create an Amazon CloudWatch alarm that monitors whether a root login has occurred. Conﬁgure the CloudWatch alarm to notify an Amazon Simple Notiﬁcation Service (Amazon SNS) topic when the alarm enters the ALARM state. Subscribe any required endpoints to this SNS topic so that these endpoints can receive notiﬁcation.,Conﬁgure AWS CloudTrail to send its logs to Amazon CloudWatch Logs. Conﬁgure a metric ﬁlter on the CloudWatch Logs log group used by CloudTrail to evaluate log entries for successful root account logins. Create an Amazon CloudWatch alarm that monitors whether a root login has occurred. Conﬁgure the CloudWatch alarm to notify an Amazon Simple Notiﬁcation Service (Amazon SNS) topic when the alarm enters the ALARM state. Subscribe any required endpoints to this SNS topic so that these endpoints can receive notiﬁcation.,Conﬁgure AWS CloudTrail to send log notiﬁcations to an Amazon Simple Notiﬁcation Service (Amazon SNS) topic. Create an AWS Lambda function that parses the CloudTrail notiﬁcation for root login activity and notiﬁes a separate SNS topic that contains the endpoints that should receive notiﬁcation. Subscribe the Lambda function to the SNS topic that is receiving log notiﬁcations from CloudTrail.,Conﬁgure an Amazon EventBridge event rule that runs when Amazon CloudWatch API calls are recorded for a successful root login. Conﬁgure the rule to target an Amazon Simple Notiﬁcation Service (Amazon SNS) topic. Subscribe any required endpoints to the SNS topic so that these endpoints can receive notiﬁcation.,,"C, E",1,0,1,0,0,0,1,,,,,2.3,Monitoring & Detection,,182,SCS-C02,AWS Certified Security - Specialty,,"Option C uses the standard approach: send CloudTrail to CloudWatch Logs, create a metric filter for ConsoleLogin by the root user, and alarm to SNS—delivering near‑real time alerts. Option E leverages EventBridge’s native aws.signin ConsoleLogin events to directly trigger SNS, providing immediate notification. Other options either don’t detect sign-ins (Access Analyzer), aren’t real-time (Trusted Advisor), or misuse CloudTrail/SNS integration."
2.1,Config & Security Hub,A company is storing data in Amazon S3 Glacier. A security engineer implemented a new vault lock policy for 10 TB of data and called the initiate-vault-lock operation 12 hours ago. The audit team identiﬁed a typo in the policy that is allowing unintended access to the vault. What is the MOST cost-effective way to correct this error?,Call the abort-vault-lock operation. Update the policy. Call the initiate-vault-lock operation again.,Copy the vault data to a new S3 bucket. Delete the vault Create a new vault with the data.,Update the policy to keep the vault lock in place.,Update the policy. Call the initiate-vault-lock operation again to apply the new policy.,,,A,0,0,1,0,0,0,1,,,,,5.4,Data Classification & Access Control,,188,SCS-C02,AWS Certified Security - Specialty,,"Glacier Vault Lock has a 24-hour in-progress phase where you can abort the lock, update the policy, and reinitiate it. Since it was initiated 12 hours ago, calling abort-vault-lock, fixing the policy, and re-initiating is allowed and avoids data movement. Other options either aren’t permitted at this stage or would incur unnecessary transfer/storage costs."
2.1,Config & Security Hub,A security engineer is investigating a malware infection that has spread across a set of Amazon EC2 instances. A key indicator of the compromise is outbound traﬃc on TCP port 2905 to a set of command and control hosts on the internet. The security engineer creates a network ACL rule that denies the identiﬁed outbound traﬃc. The security engineer applies the network ACL rule to the subnet of the EC2 instances. The security engineer must identify any EC2 instances that are trying to communicate on TCP port 2905. Which solution will identify the affected EC2 instances with the LEAST operational effort?,Create a Network Access Scope in Amazon VPC Network Access Analyzer. Use the Network Access Scope to identify EC2 instances that try to send traﬃc to TCP port 2905.,"Enable VPC ﬂow logs for the VPC where the affected EC2 instances are located. Conﬁgure the ﬂow logs to capture rejected traﬃc. In the ﬂow logs, search for REJECT records that have a destination TCP port of 2905.",Enable Amazon GuardDuty. Create a custom GuardDuty IP list to create a ﬁnding when an EC2 instance tries to communicate with one of the command and control hosts. Use Amazon Detective to identify the EC2 instances that initiate the communication.,Create a ﬁrewall in AWS Network Firewall. Attach the ﬁrewall to the subnet of the EC2 instances. Create a custom rule to identify and log traﬃc from the ﬁrewall on TCP port 2905. Create an Amazon CloudWatch Logs metric ﬁlter to identify ﬁrewall logs that reference traﬃc on TCP port 2905.,,,B,0,0,1,0,0,0,1,,,,,1.2,Detection & Investigation,,208,SCS-C02,AWS Certified Security - Specialty,,"Enabling VPC flow logs with REJECT traffic captures exactly which instances are attempting outbound connections blocked by the NACL, and you can quickly filter for destination port 2905. This requires minimal setup and no additional services. The other options involve more complex deployments or do not provide straightforward, instance-level detection of actual connection attempts."
